"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"185" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "G" -5.774529496 0.229905797
"186" "JP" "2010_10_HH_T32_34L" 2010 "2010_T32" "A" -7.029008762 -0.565530199
"187" "JP" "2010_10_HH_T32_34L" 2010 "2010_T32" "B" -8.23841243 -0.039005758
"188" "JP" "2010_10_HH_T32_34L" 2010 "2010_T32" "C" -7.771444109 0.207565099
"189" "JP" "2010_10_HH_T32_34L" 2010 "2010_T32" "D" -6.730878169 0.249302132
"190" "JP" "2010_10_HH_T32_34L" 2010 "2010_T32" "E" -6.664852594 0.234908734
"191" "JP" "2010_10_HH_T32_37L" 2010 "2010_T32" "A" -6.356981571 -0.187112873
"192" "JP" "2010_10_HH_T32_37L" 2010 "2010_T32" "B" -8.136317235 0.239064972
"193" "JP" "2010_10_HH_T32_37L" 2010 "2010_T32" "C" -7.956775855 0.222956928
"194" "JP" "2010_10_HH_T32_37L" 2010 "2010_T32" "D" -7.178035264 0.204918954
"195" "JP" "2010_10_HH_T32_37L" 2010 "2010_T32" "E" -6.307580546 0.402731186
"196" "JP" "2010_10_HH_T32_37L" 2010 "2010_T32" "F" -5.721912022 0.383596548
"197" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "A" -6.356981571 -0.187112873
"198" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "B" -7.965896419 -0.066317384
"199" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "C" -7.841522968 0.126871706
"200" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "D" -6.051649077 0.439963483
"201" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "E" -5.638690501 0.187709874
"202" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "F" -4.987774339 0.193632848
"203" "JP" "2010_10_HH_T32_44L" 2010 "2010_T32" "G" -4.535099441 0.086183898
