"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"69" 69 "Line27" "2017-12-12" 3 4 27 7 3 3 "EF / 166 / L / 4C" "19" 3413.9 3326323.5 21512.6 15769825.9 29382 212.3
"70" 70 "Raster27" "2017-12-12" 3 4 28 8 4 3 "EF / 166 / L / 4C" "19" 3225.3 2798965.5 23283.9 12238628.3 21735 226.9
"71" 71 "Line28" "2017-12-12" 3 4 29 9 3 6 "HB-S / 427 / R / 4D" "9.5" 2483.3 3589231.8 22209.6 11698651.7 13720.7 138.1
"72" 72 "Raster28" "2017-12-12" 3 4 30 10 4 6 "HB-S / 427 / R / 4D" "9.5" 1507.7 3258854 21588.5 11914302.7 13725 94.5
"73" 73 "MACS-3 10" "2017-12-12" 3 4 31 11 1 NA NA NA 166913.2 1897322.9 873570.6 13322663.9 138043.8 105398.1
"74" 74 "Blank10" "2017-12-12" 3 4 32 12 2 NA NA NA 498.3 8086.6 21415.8 9407 74.4 47.3
"75" 75 "Line29" "2017-12-12" 3 4 33 13 3 1 "WF-S / 1119 / L / 4E" "12" 6522 3369930.3 21653.3 12575523.9 18233.4 73.6
"76" 76 "Raster29" "2017-12-12" 3 4 34 14 4 1 "WF-S / 1119 / L / 4E" "12" 9732.3 2689091.2 21733.1 11538324.2 11613.8 101.1
"77" 77 "Line30" "2017-12-12" 3 4 35 15 3 4 "CL-S / 2097 / L / 4F" "9.8000000000000007" 3985.4 3292031.5 22115.9 10693058.9 16405.2 97.6
"78" 78 "Raster30" "2017-12-12" 3 4 36 16 4 4 "CL-S / 2097 / L / 4F" "9.8000000000000007" 2464.9 2291638.1 21634.8 9209613.8 10141.5 65.9
"79" 79 "Line31" "2017-12-12" 3 4 37 17 3 2 "WF-B / 3627 / R / 4G" "15" 3579.1 3039732.6 21443.8 13098289.7 17604.6 121.7
"80" 80 "Raster31" "2017-12-12" 3 4 38 18 4 2 "WF-B / 3627 / R / 4G" "15" 3306.2 2420307.6 21008.5 12049437.9 10898.3 139.8
"81" 81 "Line32" "2017-12-12" 3 4 39 19 3 8 "AB / 1785 / L / 4H" "12.2" 1510.7 1904682.9 21457 8251121.4 13731.5 73.7
"82" 82 "Raster32" "2017-12-12" 3 4 40 20 4 8 "AB / 1785 / L / 4H" "12.2" 1861.6 2574779.7 21228.3 11780455.6 13698.1 159.3
"83" 83 "MACS-3 11" "2017-12-12" 3 4 41 21 1 NA NA NA 215825.6 2227594.6 1080267.6 16948816.2 178287.3 137869.7
"84" 84 "Blank11" "2017-12-12" 3 4 42 22 2 NA NA NA 471.8 8100.8 20649.7 10915.1 70 41.9
"85" 85 "MACS-3_12" "2017-12-13" 4 5 1 1 1 NA NA NA 202896.6 1979804.8 968329.5 15236646.2 138305.3 102154.5
"86" 86 "Blank12" "2017-12-13" 4 5 2 2 2 NA NA NA 1008.5 7240.7 23973.1 3318.5 122.6 73.1
"87" 87 "Line33" "2017-12-13" 4 5 3 3 3 8 "AB / 1778 / L / 5A" "13" 13567.7 3080908.5 24140.7 11859992.7 22867.9 278.4
"88" 88 "Raster33" "2017-12-13" 4 5 4 4 4 8 "AB / 1778 / L / 5A" "13" 12210.3 3230537.6 24818.3 10520890.6 18923.2 297.2
"89" 89 "Line34" "2017-12-13" 4 5 5 5 3 3 "EF / 232 / L / 5B" "15.2" 3652.9 3816992.5 23796.9 13661153.3 27327.8 187.3
"90" 90 "Raster34" "2017-12-13" 4 5 6 6 4 3 "EF / 232 / L / 5B" "15.2" 2183.9 3357391.2 23268.9 13615244.7 14552.2 87.3
"91" 91 "Line35" "2017-12-13" 4 5 7 7 3 7 "HB-B / 413 / R / 5C" "15" 2238 3367892.4 23929.2 12405771.3 10489.1 125.8
"92" 92 "Raster35" "2017-12-13" 4 5 8 8 4 7 "HB-B / 413 / R / 5C" "15" 1377.8 2491928.5 22620.6 8970735.9 16149.5 135.3
"93" 93 "Line36" "2017-12-13" 4 5 9 9 3 5 "CL-B / 2058 / R / 5D" "14.5" 4860.8 3512679.2 23051.2 13796222 15031 209.6
"94" 94 "Raster36" "2017-12-13" 4 5 10 10 4 5 "CL-B / 2058 / R / 5D" "14.5" 3956.1 3406540.5 26117.5 12545409.3 17394.3 280.6
