"fish_code" "distance" "oto_sr8786" "river"
"304" "3070" 6.6 0.7096878 "Glenelg"
"305" "3070" 13.2 0.7101317 "Glenelg"
"306" "3070" 19.8 0.7095936 "Glenelg"
"307" "3070" 26.4 0.7099572 "Glenelg"
"308" "3070" 33 0.7097249 "Glenelg"
"309" "3070" 39.6 0.7096535 "Glenelg"
"310" "3070" 46.2 0.7099229 "Glenelg"
"311" "3070" 52.8 0.7101106 "Glenelg"
"312" "3070" 59.4 0.7094484 "Glenelg"
"313" "3070" 66 0.709412 "Glenelg"
"314" "3070" 72.6 0.7096675 "Glenelg"
"315" "3070" 79.2 0.7099054 "Glenelg"
"316" "3070" 85.8 0.7097011 "Glenelg"
"317" "3070" 92.4 0.7093016 "Glenelg"
"318" "3070" 99 0.7095827 "Glenelg"
"319" "3070" 105.6 0.7092851 "Glenelg"
"320" "3070" 112.2 0.7096741 "Glenelg"
"321" "3070" 118.8 0.7094078 "Glenelg"
"322" "3070" 125.4 0.7093551 "Glenelg"
"323" "3070" 132 0.7092955 "Glenelg"
"324" "3070" 138.6 0.7092012 "Glenelg"
"325" "3070" 145.2 0.7093581 "Glenelg"
"326" "3070" 151.8 0.7090848 "Glenelg"
"327" "3070" 158.4 0.7096616 "Glenelg"
"328" "3070" 165 0.7091749 "Glenelg"
"329" "3070" 171.6 0.7094578 "Glenelg"
"330" "3070" 178.2 0.709562 "Glenelg"
"331" "3070" 184.8 0.7092054 "Glenelg"
"332" "3070" 191.4 0.7093079 "Glenelg"
"333" "3070" 198 0.7094861 "Glenelg"
"334" "3070" 204.6 0.7096459 "Glenelg"
"335" "3070" 211.2 0.7096497 "Glenelg"
"336" "3070" 217.8 0.7093578 "Glenelg"
"337" "3070" 224.4 0.7092617 "Glenelg"
"338" "3070" 231 0.7094439 "Glenelg"
"339" "3070" 237.6 0.7093541 "Glenelg"
"340" "3070" 244.2 0.7091198 "Glenelg"
"341" "3070" 250.8 0.709268 "Glenelg"
"342" "3070" 257.4 0.7092756 "Glenelg"
"343" "3070" 264 0.7095824 "Glenelg"
"344" "3070" 270.6 0.7089916 "Glenelg"
"345" "3070" 277.2 0.7091821 "Glenelg"
"346" "3070" 283.8 0.7097093 "Glenelg"
"347" "3070" 290.4 0.709541 "Glenelg"
"348" "3070" 297 0.7097589 "Glenelg"
"349" "3070" 303.6 0.7092643 "Glenelg"
"350" "3070" 310.2 0.7091729 "Glenelg"
"351" "3070" 316.8 0.7089166 "Glenelg"
"352" "3070" 323.4 0.7083769 "Glenelg"
"353" "3070" 330 0.7081362 "Glenelg"
"354" "3070" 336.6 0.7085525 "Glenelg"
"355" "3070" 343.2 0.7086203 "Glenelg"
"356" "3071" 0 0.7100182 "Glenelg"
"357" "3071" 6.6 0.7099062 "Glenelg"
"358" "3071" 13.2 0.70991 "Glenelg"
"359" "3071" 19.8 0.710021 "Glenelg"
"360" "3071" 26.4 0.7100396 "Glenelg"
"361" "3071" 33 0.7103034 "Glenelg"
"362" "3071" 39.6 0.7098261 "Glenelg"
"363" "3071" 46.2 0.7097645 "Glenelg"
"364" "3071" 52.8 0.7095509 "Glenelg"
"365" "3071" 59.4 0.7093958 "Glenelg"
"366" "3071" 66 0.7098141 "Glenelg"
"367" "3071" 72.6 0.7098033 "Glenelg"
"368" "3071" 79.2 0.7098385 "Glenelg"
"369" "3071" 85.8 0.7094211 "Glenelg"
"370" "3071" 92.4 0.7094336 "Glenelg"
"371" "3071" 99 0.7100712 "Glenelg"
"372" "3071" 105.6 0.7096538 "Glenelg"
"373" "3071" 112.2 0.7098578 "Glenelg"
"374" "3071" 118.8 0.7098159 "Glenelg"
"375" "3071" 125.4 0.709178 "Glenelg"
"376" "3071" 132 0.7096473 "Glenelg"
"377" "3071" 138.6 0.7097958 "Glenelg"
"378" "3071" 145.2 0.7092585 "Glenelg"
"379" "3071" 151.8 0.709949 "Glenelg"
"380" "3071" 158.4 0.7098391 "Glenelg"
"381" "3071" 165 0.7093292 "Glenelg"
"382" "3071" 171.6 0.7096539 "Glenelg"
"383" "3071" 178.2 0.7094267 "Glenelg"
"384" "3071" 184.8 0.7098242 "Glenelg"
"385" "3071" 191.4 0.7095819 "Glenelg"
"386" "3071" 198 0.7096396 "Glenelg"
"387" "3071" 204.6 0.709359 "Glenelg"
"388" "3071" 211.2 0.7098586 "Glenelg"
"389" "3071" 217.8 0.7098257 "Glenelg"
"390" "3071" 224.4 0.709531 "Glenelg"
"391" "3071" 231 0.7092632 "Glenelg"
"392" "3071" 237.6 0.7094708 "Glenelg"
"393" "3071" 244.2 0.709204 "Glenelg"
"394" "3071" 250.8 0.7089107 "Glenelg"
"395" "3071" 257.4 0.7096749 "Glenelg"
"396" "3071" 264 0.709352 "Glenelg"
"397" "3071" 270.6 0.7097336 "Glenelg"
"398" "3071" 277.2 0.7097082 "Glenelg"
"399" "3071" 283.8 0.7093303 "Glenelg"
"400" "3071" 290.4 0.7095786 "Glenelg"
"401" "3071" 297 0.7092217 "Glenelg"
"402" "3071" 303.6 0.7088765 "Glenelg"
"403" "3071" 310.2 0.7091002 "Glenelg"
"404" "3071" 316.8 0.7097604 "Glenelg"
"405" "3071" 323.4 0.7094385 "Glenelg"
"406" "3071" 330 0.7092435 "Glenelg"
"407" "3071" 336.6 0.7094334 "Glenelg"
"408" "3071" 343.2 0.7094786 "Glenelg"
"409" "3071" 349.8 0.7090598 "Glenelg"
"410" "3071" 356.4 0.7095884 "Glenelg"
"411" "3071" 363 0.7088614 "Glenelg"
"412" "3071" 369.6 0.7092453 "Glenelg"
"413" "3071" 376.2 0.7090831 "Glenelg"
"414" "3072" 0 0.7103368 "Glenelg"
"415" "3072" 6.6 0.7099925 "Glenelg"
"416" "3072" 13.2 0.7096647 "Glenelg"
"417" "3072" 19.8 0.7097842 "Glenelg"
"418" "3072" 26.4 0.7096962 "Glenelg"
"419" "3072" 33 0.710078 "Glenelg"
"420" "3072" 39.6 0.7102682 "Glenelg"
"421" "3072" 46.2 0.70986 "Glenelg"
"422" "3072" 52.8 0.7099612 "Glenelg"
"423" "3072" 59.4 0.7096951 "Glenelg"
"424" "3072" 66 0.7097839 "Glenelg"
"425" "3072" 72.6 0.7096941 "Glenelg"
"426" "3072" 79.2 0.7098503 "Glenelg"
"427" "3072" 85.8 0.7098194 "Glenelg"
"428" "3072" 92.4 0.709519 "Glenelg"
"429" "3072" 99 0.7097661 "Glenelg"
"430" "3072" 105.6 0.7095361 "Glenelg"
"431" "3072" 112.2 0.709471 "Glenelg"
"432" "3072" 118.8 0.7099538 "Glenelg"
"433" "3072" 125.4 0.7100775 "Glenelg"
"434" "3072" 132 0.7098145 "Glenelg"
"435" "3072" 138.6 0.7099318 "Glenelg"
"436" "3072" 145.2 0.7097608 "Glenelg"
"437" "3072" 151.8 0.709597 "Glenelg"
"438" "3072" 158.4 0.709812 "Glenelg"
"439" "3072" 165 0.7097079 "Glenelg"
"440" "3072" 171.6 0.7098988 "Glenelg"
"441" "3072" 178.2 0.7101465 "Glenelg"
"442" "3072" 184.8 0.7099139 "Glenelg"
"443" "3072" 191.4 0.7094142 "Glenelg"
"444" "3072" 198 0.7097751 "Glenelg"
"445" "3072" 204.6 0.7098258 "Glenelg"
"446" "3072" 211.2 0.7097778 "Glenelg"
"447" "3072" 217.8 0.7095518 "Glenelg"
"448" "3072" 224.4 0.7095043 "Glenelg"
"449" "3072" 231 0.7096392 "Glenelg"
"450" "3072" 237.6 0.7097394 "Glenelg"
"451" "3072" 244.2 0.7093085 "Glenelg"
"452" "3072" 250.8 0.7100147 "Glenelg"
"453" "3072" 257.4 0.7100675 "Glenelg"
"454" "3072" 264 0.7094932 "Glenelg"
"455" "3072" 270.6 0.7094492 "Glenelg"
"456" "3072" 277.2 0.7098458 "Glenelg"
"457" "3072" 283.8 0.7097186 "Glenelg"
"458" "3072" 290.4 0.7094888 "Glenelg"
"459" "3072" 297 0.7097218 "Glenelg"
"460" "3072" 303.6 0.7095474 "Glenelg"
"461" "3072" 310.2 0.7092514 "Glenelg"
"462" "3072" 316.8 0.709508 "Glenelg"
"463" "3072" 323.4 0.709196 "Glenelg"
"464" "3072" 330 0.7090031 "Glenelg"
"465" "3072" 336.6 0.7091002 "Glenelg"
"466" "3072" 343.2 0.708931 "Glenelg"
"467" "3072" 349.8 0.7087556 "Glenelg"
"468" "3073" 0 0.7098513 "Glenelg"
"469" "3073" 6.6 0.7101764 "Glenelg"
"470" "3073" 13.2 0.7100355 "Glenelg"
"471" "3073" 19.8 0.7104919 "Glenelg"
"472" "3073" 26.4 0.7098931 "Glenelg"
"473" "3073" 33 0.7099305 "Glenelg"
"474" "3073" 39.6 0.7102143 "Glenelg"
"475" "3073" 46.2 0.7098705 "Glenelg"
"476" "3073" 52.8 0.7098915 "Glenelg"
"477" "3073" 59.4 0.709599 "Glenelg"
"478" "3073" 66 0.7097833 "Glenelg"
"479" "3073" 72.6 0.7107195 "Glenelg"
"480" "3073" 79.2 0.7099941 "Glenelg"
"481" "3073" 85.8 0.7103519 "Glenelg"
"482" "3073" 92.4 0.7098402 "Glenelg"
"483" "3073" 99 0.7099314 "Glenelg"
"484" "3073" 105.6 0.7097702 "Glenelg"
"485" "3073" 112.2 0.7098588 "Glenelg"
"486" "3073" 118.8 0.7094981 "Glenelg"
"487" "3073" 125.4 0.7100737 "Glenelg"
"488" "3073" 132 0.709479 "Glenelg"
"489" "3073" 138.6 0.7097344 "Glenelg"
"490" "3073" 145.2 0.7099185 "Glenelg"
"491" "3073" 151.8 0.7098343 "Glenelg"
"492" "3073" 158.4 0.7095553 "Glenelg"
"493" "3073" 165 0.7097865 "Glenelg"
"494" "3073" 171.6 0.7093863 "Glenelg"
"495" "3073" 178.2 0.7095536 "Glenelg"
"496" "3073" 184.8 0.7097576 "Glenelg"
"497" "3073" 191.4 0.7093821 "Glenelg"
"498" "3073" 198 0.7094479 "Glenelg"
"499" "3073" 204.6 0.7092627 "Glenelg"
"500" "3073" 211.2 0.708947 "Glenelg"
"501" "3073" 217.8 0.7093037 "Glenelg"
"502" "3073" 224.4 0.7095379 "Glenelg"
"503" "3073" 231 0.7089975 "Glenelg"
"504" "3073" 237.6 0.7091843 "Glenelg"
"505" "3073" 244.2 0.7090208 "Glenelg"
"506" "3073" 250.8 0.7094564 "Glenelg"
"507" "3073" 257.4 0.7090674 "Glenelg"
"508" "3073" 264 0.7092744 "Glenelg"
"509" "3073" 270.6 0.709666 "Glenelg"
"510" "3073" 277.2 0.7088916 "Glenelg"
"511" "3073" 283.8 0.7092858 "Glenelg"
"512" "3073" 290.4 0.7091831 "Glenelg"
"513" "3073" 297 0.7094979 "Glenelg"
"514" "3073" 303.6 0.7089006 "Glenelg"
"515" "3073" 310.2 0.7084632 "Glenelg"
"516" "3073" 316.8 0.7092359 "Glenelg"
"517" "3073" 323.4 0.7080473 "Glenelg"
"518" "3074" 0 0.7101457 "Glenelg"
"519" "3074" 6.6 0.7102615 "Glenelg"
"520" "3074" 13.2 0.7100813 "Glenelg"
"521" "3074" 19.8 0.7102095 "Glenelg"
"522" "3074" 26.4 0.7102164 "Glenelg"
"523" "3074" 33 0.710064 "Glenelg"
"524" "3074" 39.6 0.7098095 "Glenelg"
"525" "3074" 46.2 0.7098989 "Glenelg"
"526" "3074" 52.8 0.7098687 "Glenelg"
"527" "3074" 59.4 0.7100376 "Glenelg"
"528" "3074" 66 0.7101736 "Glenelg"
"529" "3074" 72.6 0.7098415 "Glenelg"
"530" "3074" 79.2 0.7098414 "Glenelg"
"531" "3074" 85.8 0.710303 "Glenelg"
"532" "3074" 92.4 0.7097953 "Glenelg"
"533" "3074" 99 0.7100304 "Glenelg"
"534" "3074" 105.6 0.7100582 "Glenelg"
"535" "3074" 112.2 0.7099758 "Glenelg"
"536" "3074" 118.8 0.709925 "Glenelg"
"537" "3074" 125.4 0.7099696 "Glenelg"
"538" "3074" 132 0.7094668 "Glenelg"
"539" "3074" 138.6 0.7097808 "Glenelg"
"540" "3074" 145.2 0.7096407 "Glenelg"
"541" "3074" 151.8 0.7099858 "Glenelg"
"542" "3074" 158.4 0.7097547 "Glenelg"
"543" "3074" 165 0.7098217 "Glenelg"
"544" "3074" 171.6 0.709938 "Glenelg"
"545" "3074" 178.2 0.7096902 "Glenelg"
"546" "3074" 184.8 0.7096527 "Glenelg"
