"id" "lake" "stocking" "ecotype" "sex" "maturity" "origin" "analysis" "material" "date" "d18ovsmow_oto" "d18ovpdb_oto" "corrected_d18ovpdb_oto" "distance_oto" "age" "age_int" "tl" "weight"
"103" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@5" "LOU-34" "17-11-28" 22.68372173 -7.986563086 -6.986563086 469.0449231 2.17372638 2 486 1160
"104" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@6" "LOU-34" "17-11-28" 23.45525756 -7.238165613 -6.238165613 586.3061538 2.85033111 2 486 1160
"105" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@7" "LOU-34" "17-11-28" 22.97916106 -7.699983976 -6.699983976 703.5673846 3.59820524 3 486 1160
"106" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@8" "LOU-34" "17-11-28" 23.41533333 -7.27689252 -6.27689252 820.8286154 4.41586849 4 486 1160
"107" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@9" "LOU-34" "17-11-28" 23.16730402 -7.517483428 -6.517483428 938.0898462 5.32681138 5 486 1160
"108" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-1@0" "LOU-34" "17-11-28" 23.15283148 -7.531521932 -6.531521932 1055.351077 6.35960202 6 486 1160
"109" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-1@1" "LOU-34" "17-11-28" 22.17468774 -8.480331148 -7.480331148 1172.612308 7.54883002 7 486 1160
"110" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-1@2" "LOU-34" "17-11-28" 23.18526992 -7.50005632 -6.50005632 1289.873538 8.93621258 8 486 1160
"111" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-1@3" "LOU-34" "17-11-28" 22.07737242 -8.574727983 -7.574727983 1407.134769 10.6492395 10 486 1160
"112" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-1@4" "LOU-34" "17-11-28" 24.1684042 -6.546406241 -5.546406241 1524.396 12.81848912 12 486 1160
"113" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@1" "LOU-38" "17-12-01" 22.39752179 -8.264179887 -7.264179887 0 0 0 451 970
"114" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@2" "LOU-38" "17-12-01" 21.71414169 -8.927065424 -7.927065424 142.0339 0.80265219 0 451 970
"115" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@3" "LOU-38" "17-12-01" 21.85496494 -8.790465459 -7.790465459 284.0678 1.79471936 1 451 970
"116" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@4" "LOU-38" "17-12-01" 22.23933192 -8.417625649 -7.417625649 426.1017 2.86068077 2 451 970
"117" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@5" "LOU-38" "17-12-01" 23.33386556 -7.355917064 -6.355917064 568.1356 4.01236631 4 451 970
"118" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@7" "LOU-38" "17-12-01" 22.658124 -8.011393144 -7.011393144 852.2034 6.66364964 6 451 970
"119" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@8" "LOU-38" "17-12-01" 23.44468952 -7.248416717 -6.248416717 994.2373 8.19718452 8 451 970
"120" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@9" "LOU-38" "17-12-01" 23.98387483 -6.725401577 -5.725401577 1136.2712 9.9196773 9 451 970
"121" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-0@10" "LOU-38" "17-12-01" 22.97304945 -7.705912299 -6.705912299 1278.3051 11.88868613 11 451 970
