"id" "type" "sex" "site" "trap" "utm59e" "utm59n" "cluster" "length" "weight" "gonade_w" "srlarvae" "balarvae" "sradult" "baadult" "increment1" "increment2" "increment3" "increment4" "otolithradius" "age"
"92" "WaiN-11" "Diet" "M" "Waipori" "N3AM" 430840 4909566 "NL" 49.87 1.24 0.008 1.05176298553202 0.00290794436078704 1.02055126824987 0.00328140507178152 0.303370786516854 0.404494382022472 0.192134831460674 NA 0.9 1
"93" "WaiN-12" "Diet" "F" "Waipori" "N3AM" 430840 4909566 "NL" 54.69 1.86 0.03 0.994548307210873 0.00210845479205618 0.85803049651668 0.00342096228959796 0.273563218390805 0.410344827586207 0.166091954022989 NA 0.85 1
"94" "WaiN-13" "Diet" "F" "Waipori" "N3AM" 430840 4909566 "NL" 52.58 1.597 0.021 0.939983923899757 0.00173495750494063 0.785395259166663 0.00223451109913758 0.26 0.47 0.17 NA 0.9 1
"95" "WaiN-14" "Diet" "F" "Waipori" "N3AM" 430840 4909566 "NL" 53.84 1.708 0.119 1.11993777333447 0.00122608723562594 1.1689498828579 0.00185063888764216 0.336633663366337 0.455445544554455 0.207920792079208 NA 1 1
"96" "WaiN-15" "Diet" "M" "Waipori" "N3AM" 430840 4909566 "NL" 45.89 0.995 0.003 0.715673303858518 0.00239833436072854 0.538551510636459 0.00336923122418834 0.29 0.37 0.08 NA 0.74 1
"97" "WaiN-16" "Diet" "M" "Waipori" "N3" 430840 4909566 "NL" 48.93 1.122 0.009 1.33119275792931 0.00243783471658732 0.736391568061681 0.0017967845575585 0.262921348314607 0.465168539325843 0.171910112359551 NA 0.9 1
"98" "WaiN-17" "Diet" "M" "Waipori" "N3" 430840 4909566 "NL" 45.12 0.945 0.002 1.35464349349404 0.00391142690178282 0.770873075991705 0.00259678815648573 0.257011494252874 0.375632183908046 0.22735632183908 NA 0.86 1
"99" "WaiN-18" "Diet" "M" "Waipori" "N3" 430840 4909566 "NL" 50 1.464 0.004 0.90754265557083 0.00156644107574752 0.696545213288244 0.00247088461901758 0.309090909090909 0.31875 0.222159090909091 NA 0.85 1
"100" "WaiN-19" "Diet" "F" "Waipori" "N2AM" 431009 4909664 "NL" 42.58 0.785 0.011 1.37934957506111 0.00254996739665324 0.675948815204705 0.00225983876344952 NA NA NA NA NA NA
"101" "WaiN-20" "Diet" "F" "Waipori" "N2AM" 431009 4909664 "NL" 59.58 2.763 0.021 0.845614032318813 0.0018042133798782 1.11312207902035 0.00424493987764988 0.31 0.44 0.3 NA 1.05 1
